shortcode;url;likes;comments;tags;
BW82Nq9DRGv;https://instagram.fbru2-1.fna.fbcdn.net/vp/e43620be4c9a5412ac479481719af09a/5C3ADC90/t51.2885-15/e35/20225761_1451801721539550_141426456944181248_n.jpg;855336;3596;food,plate,cloth,slice,meal,sliced,several,arranged;
BW48hVvAOJy;https://instagram.fbru2-1.fna.fbcdn.net/vp/e8d8647714f9513bf0294f9aa350eaf1/5BFAE579/t51.2885-15/e35/19985979_366358943778442_9092979977959243776_n.jpg;1784660;7522;sky,outdoor,water,person,nature,shore,flag,day,distance;
BW5DMvAAUdZ;https://instagram.fbru2-1.fna.fbcdn.net/vp/dc9686e57d5d666e3a1df4946378bd1d/5C0B381D/t51.2885-15/e35/20066634_106016710074706_7399872142952628224_n.jpg;740724;3026;grass,outdoor,sky,colorful;
BXBlDHYlf7p;https://instagram.fbru2-1.fna.fbcdn.net/vp/8ac3834b6f2dfff355a296e7295bee1b/5C055CA6/t51.2885-15/e35/20225845_109616216369218_5046850520015175680_n.jpg;656038;5761;outdoor,ground,person;
BW_RgyihmNC;https://instagram.fbru2-1.fna.fbcdn.net/vp/1f96db5617f5db8517407ba1dea4b011/5C086697/t51.2885-15/e35/20225209_343876322709424_6257808624907714560_n.jpg;885759;3249;outdoor,way,street,scene,sidewalk,green,road,curb;
BXIg0fcAHrT;https://instagram.fbru2-1.fna.fbcdn.net/vp/e2513272653aac3dbfe2ea29f8867b0b/5C14556E/t51.2885-15/e35/20398975_288965428175943_7360373059603136512_n.jpg;1140395;3588;outdoor,nature,mountain;
BXEJU-jDs94;https://instagram.fbru2-1.fna.fbcdn.net/vp/9bdf1acbbb6fa7c80c53091d5b0b52fd/5C044CC0/t51.2885-15/e35/20347263_1433129150068887_2715011667191660544_n.jpg;1255098;6577;grass,outdoor,sky,field,grassy,mammal,lush,day,hillside;
BXGoHPhD0_h;https://instagram.fbru2-1.fna.fbcdn.net/vp/f9f934e03f2f1cfa202d4eeed31acd13/5BFCA7DC/t51.2885-15/e35/20347109_107664726575622_6155097119133794304_n.jpg;912397;4113;flower,plant,bouquet,colorful,several,fresh,colored;
BW_gEmKj0sw;https://instagram.fbru2-1.fna.fbcdn.net/vp/e8aea4463ab15a9e16284ecd0f24609e/5C0CCF9C/t51.2885-15/e35/20225216_857363951096247_3467544861492641792_n.jpg;975404;6090;nature,rain;
BW_Zndrjzpr;https://instagram.fbru2-1.fna.fbcdn.net/vp/7ffd5f62f8ce420ed3f76a1137fa90a0/5C393B4A/t51.2885-15/e35/20398361_108090196523497_4125022050051948544_n.jpg;489458;2596;indoor,window,girl,vessel,bell jar,plastic;
